"","LSOA code","LSOA name","LAD code","LAD name","ITL1 code","ITL1 name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","GEOGRAPHY_NAME","OBS_VALUE"
"24","E01011975","Hartlepool 005C","E06000001","Hartlepool","TLC","North East (England)",3.371487838,3.591249596,3.737566556,3.78656909,3.853812136,3.894529909,3.937466843,4.380779472,4.79835832,5.425334329,5.7198926,5.38052307,5.089378699,5.298772081,5.374949773,6.233725837,4.390522144,1.940598952,1.870122267,1.868650192,1.727292171,2.029532964,1.61974061,"Hartlepool 005C",146
"25","E01011976","Hartlepool 005D","E06000001","Hartlepool","TLC","North East (England)",2.087114448,2.112419382,2.14963153,2.109441584,2.25382658,2.112909616,2.117051703,2.399497707,2.584299859,2.780313142,2.538562314,2.414297598,2.365014119,2.450924655,2.348757537,2.100600282,2.244207825,2.273357804,1.942852939,2.067928226,1.920214727,1.966373468,2.309892248,"Hartlepool 005D",87
"26","E01011977","Hartlepool 012C","E06000001","Hartlepool","TLC","North East (England)",2.356359371,2.555450863,2.60582104,2.706765592,2.781199575,2.74389931,2.636366886,2.881167127,3.103828318,3.364565618,3.576619463,3.513448793,3.501737791,3.524769634,3.56299349,4.607472827,4.529094204,4.872914012,4.126197483,3.706797084,3.468670767,3.46660819,3.848445492,"Hartlepool 012C",183
"27","E01011978","Hartlepool 012D","E06000001","Hartlepool","TLC","North East (England)",11.60429873,12.66621926,13.12055899,12.83886219,13.38283222,14.162825,16.06289294,17.25293887,18.29924969,19.16174802,19.91553559,23.00496172,23.10715154,26.83135593,29.72837563,32.35731413,32.35022516,33.25354119,20.32289979,18.89318829,4.042087968,4.42458802,4.568547729,"Hartlepool 012D",383
"28","E01011979","Hartlepool 012E","E06000001","Hartlepool","TLC","North East (England)",1.44822378,1.53082542,1.535844561,1.549563641,1.538113365,1.439574759,1.288630431,1.449161314,1.666561574,1.84536032,2.013008283,1.843874468,1.807175432,1.830383337,1.88789702,2.044035015,3.854069354,2.975772221,2.908332121,2.548310458,1.374723832,1.315254488,2.020716008,"Hartlepool 012E",93
"29","E01011980","Hartlepool 009B","E06000001","Hartlepool","TLC","North East (England)",2.252422071,2.397820792,2.473210153,2.476812809,2.513836869,2.490389496,2.274078634,2.55868475,2.955300038,3.203430998,3.344312398,3.117668572,3.126233467,3.340386439,3.325800958,4.507222422,3.767260138,3.698431038,3.164777416,3.918097278,2.293058518,2.74249227,3.309466996,"Hartlepool 009B",146
"30","E01011981","Hartlepool 009C","E06000001","Hartlepool","TLC","North East (England)",6.868180011,7.660955806,8.143755238,8.747503239,9.616930388,10.1251713,11.06460591,11.7493153,11.43614864,12.25570362,12.2987242,12.95251305,12.91450257,13.35935278,13.16166522,14.07571376,13.81498463,12.80525826,14.38766383,13.11896112,14.00223219,13.2263455,14.52127023,"Hartlepool 009C",451
"31","E01011982","Hartlepool 014E","E06000001","Hartlepool","TLC","North East (England)",10.19920452,10.96831158,11.52310515,11.9667421,12.45146007,12.61008996,12.35531227,13.44799579,13.94749201,15.21815974,15.88351006,15.6955132,15.57804862,15.92997766,15.7100258,17.01441374,15.66506932,14.30365585,15.54898235,15.65137423,15.35640938,17.76777219,18.17938827,"Hartlepool 014E",354
"32","E01011983","Hartlepool 006C","E06000001","Hartlepool","TLC","North East (England)",10.36444368,10.82643205,11.06313547,11.33287051,11.48799171,11.37051963,10.93131883,12.0154208,13.26969572,14.38047061,14.99156738,14.26252942,14.17038264,14.22340094,13.9488286,10.88152627,18.90289794,14.68778689,16.45138443,17.67286257,17.16626071,17.50719996,15.84971663,"Hartlepool 006C",494
"33","E01011984","Hartlepool 009D","E06000001","Hartlepool","TLC","North East (England)",2.459921656,2.569369626,2.584111666,2.577664462,2.501918118,2.348835343,1.90799419,2.236189856,2.6289555,2.956652535,3.27429433,2.899233916,2.806974823,2.860519534,2.89773049,2.986129774,2.81605939,3.125144479,3.167854264,3.05589636,3.03421034,3.174773441,2.734183677,"Hartlepool 009D",77
"34","E01011985","Hartlepool 010A","E06000001","Hartlepool","TLC","North East (England)",17.5521528,37.50446426,38.77395945,39.71246297,33.70731759,52.23414052,50.23634012,45.71736635,38.81194928,39.29299662,40.59265426,18.86580946,16.71545932,18.12744242,15.1251071,43.08620843,9.088326726,22.23332709,6.810982529,23.28661762,7.858100798,7.308226387,7.396188479,"Hartlepool 010A",345
"35","E01011986","Hartlepool 008B","E06000001","Hartlepool","TLC","North East (England)",2.553557941,2.671672697,2.647819889,2.619417514,2.523913191,2.367910396,1.945068349,2.265387906,2.642338064,2.990142457,3.331960628,2.984675115,2.848369206,2.919811428,2.988383151,3.188241436,3.776455635,3.56450529,3.769327495,4.889745368,3.785295452,3.08521825,3.699130403,"Hartlepool 008B",88
"36","E01011987","Hartlepool 008C","E06000001","Hartlepool","TLC","North East (England)",4.48236974,4.858426287,5.077233391,5.489459797,5.837277848,5.878159119,6.052417734,6.418205563,6.62428941,6.941282568,7.258748652,7.340950113,7.394391096,7.462916521,7.26871876,7.467627632,7.268057846,7.526476259,6.650789816,6.152378371,6.958232837,7.313921069,7.065942709,"Hartlepool 008C",304
"37","E01011988","Hartlepool 010B","E06000001","Hartlepool","TLC","North East (England)",8.252776769,8.853116961,9.421251163,10.30711401,31.43593156,12.03303822,12.10939563,13.75258794,15.33688352,15.95699476,15.86706372,29.36570145,36.69989723,37.73761493,41.98807529,15.23159598,34.36534511,18.47350963,38.46122098,26.82019841,17.48848244,17.44708968,16.94961959,"Hartlepool 010B",347
"38","E01011989","Hartlepool 010C","E06000001","Hartlepool","TLC","North East (England)",47.64799037,54.760701,54.79810432,56.23844478,59.22589277,62.26891452,64.86306389,65.75543634,68.38894471,71.70341262,74.67318004,76.86154397,79.04183204,79.24493544,78.36491634,80.10425079,74.80367577,75.29650928,77.62469961,66.93084307,77.39684348,95.74251501,90.20290778,"Hartlepool 010C",1658
"39","E01011990","Hartlepool 010D","E06000001","Hartlepool","TLC","North East (England)",47.64799037,37.50446426,38.77395945,39.71246297,31.43593156,52.23414052,50.23634012,45.71736635,38.81194928,39.29299662,40.59265426,29.36570145,36.69989723,37.73761493,41.98807529,43.08620843,34.36534511,22.23332709,38.46122098,23.28661762,37.49502004,37.50008317,35.23105104,"Hartlepool 010D",760
"40","E01011991","Hartlepool 002C","E06000001","Hartlepool","TLC","North East (England)",3.337244339,3.523518218,3.542412654,3.647953191,3.689137097,3.542795538,3.342420525,3.647381667,4.062423832,4.333430261,4.671106526,4.525471057,4.532646384,4.660424259,4.866013076,4.704770793,5.500266649,5.446633413,6.70456673,5.138342989,4.922897093,5.16171217,5.19921131,"Hartlepool 002C",221
"41","E01011992","Hartlepool 002D","E06000001","Hartlepool","TLC","North East (England)",31.30349029,29.82030583,32.7371675,32.95108566,34.88579572,35.44036318,38.45890277,39.14659131,38.02893266,38.77025292,50.28814577,34.87196901,37.72487854,36.64771749,41.08742465,51.26661787,48.60235382,53.57379643,49.76962505,54.06250572,45.67630098,42.58048738,44.18669463,"Hartlepool 002D",1058
"42","E01011993","Hartlepool 002E","E06000001","Hartlepool","TLC","North East (England)",21.28720181,22.52671098,23.80585689,24.44325012,25.45171308,25.6324227,28.0266932,30.74366824,32.68014277,36.90643568,9.460431012,36.60496192,9.481311635,37.74260822,38.54694964,33.21744082,31.77141293,32.20740746,9.994339504,13.34233108,10.85402805,11.36677507,11.75244875,"Hartlepool 002E",736
